Prefix,Name
185.1.133.0/24,BHNIX-v4
185.1.134.0/24,LVIV-IX
185.1.135.0/24,SBIX-Zurich-v4
185.1.136.0/24,BFD-IX v4
185.1.137.0/24,Varna IX v4
185.1.138.0/24,NLocIX v4
185.1.142.0/24,STHIX - Sundsvall
185.1.144.0/24,MS-IX v4
185.1.147.0/24,Community-IX Vienna
185.1.15.0/24,SmartHub IX v4
185.1.152.0/23,PITER-IX SPB v4
185.1.154.0/24,SBIX-Dusseldorf-v4
185.1.155.0/24,LocIX Dusseldorf
185.1.157.0/24,STHIX Umea v4
185.1.158.0/24,TR-IX Denizli v4
185.1.159.0/24,QIX-v4
185.1.160.0/23,PITER-IX Moscow v4
185.1.166.0/23,LocIX Frankfurt v4
185.1.169.0/24,BéarnIX-v4
185.1.170.0/23,DE-CIX Dusseldorf v4
185.1.172.0/24,SEECIX-v4
185.1.176.0/24,RO-CIX v4
185.1.178.0/24,ManxIX-ipv4
185.1.179.0/24,ROPN-IX_IPv4
185.1.18.0/24,DO-IX v4
185.1.180.0/24,STACIX-ipv4
185.1.19.0/26,ULN-IX IPv4
185.1.191.0/24,Muscat-v4
185.1.192.0/23,DE-CIX Madrid v4
185.1.195.0/24,NCL-IX-v4
185.1.197.0/24,Ruhr-CIX-v4
185.1.198.0/24,kremen-IX-v4
185.1.2.0/24,AuvernIX  v4
185.1.203.0/24,FRYS-IX-v4
185.1.206.0/24,SIIX
185.1.208.0/23,DE-CIX Munich-v4
185.1.213.0/24,1-IX-UA-v4
185.1.22.0/24,Equinix Madrid v4
185.1.221.0/24,GIBIRIX-v4
185.1.222.0/23,Speed-IX
185.1.224.0/24,IXP.GE
185.1.225.0/24,RUDAKI_v4
185.1.226.0/23,NetIXv4
185.1.235.0/24,IIX-EE IPv4 peering subnet
185.1.239.0/24,Equinix-Jeddah-v4
185.1.240.0/24,ERA-IX-v4
185.1.25.0/24,Brno IX v4
185.1.254.0/24,1-IX-EU-v4
185.1.27.0/24,SOX IPv4
185.1.29.0/24,THESS-IX-v4
185.1.30.0/24,B-IX BG Peering IPv4 subnet
185.1.31.0/24,Tirol IX v4
185.1.32.0/24,LSIX
185.1.33.0/24,IXBrighton
185.1.39.0/24,IX.ks.ua
185.1.4.0/22,POZIX-v4
185.1.40.0/24,T-CIX v4
185.1.43.0/24,SAIX v4
185.1.44.0/24,MIXP v4
185.1.46.0/24,DE-CIX Palermo v4
185.1.47.0/24,DE-CIX Marseille v4
185.1.48.0/24,DE-CIX Istanbul IPv4
185.1.54.0/24,UP-IXP IPv4
185.1.55.0/24,NIX1
185.1.58.0/24,SAIX-Jeddah-public-v4
185.1.59.0/24,CHIX-v4
185.1.61.0/24,BW-IX Karlsruhe
185.1.62.0/23,Giganet
185.1.64.0/24,TN-IX
185.1.65.0/26,NIX2 IPv4
185.1.65.192/27,TIX IPv4
185.1.65.224/27,SIX IPv4
185.1.66.0/26,OuestIX
185.1.69.0/24,INEX Cork
185.1.71.0/25,Titanic
185.1.71.128/25,Mersey
185.1.74.0/26,Community-IX v4
185.1.79.0/24,Gavlix v4
185.1.8.0/24,UAE-IX IPv4 Subnet
185.1.82.0/24,STHIX - Gothenburg
185.1.86.0/24,Equinix Helsinki
185.1.87.0/24,CIX
185.1.88.0/24,STHIX CPH v4
185.1.89.0/24,BreizhIX
185.1.92.0/24,LIXP v4
185.1.93.0/24,RomandIX v4
185.1.94.0/24,Asteroid Amsterdam v4
185.1.97.0/24,PCIX
185.1.99.0/24,MESH-IX v4
185.153.160.0/22,PSIX v4
185.209.89.0/24,PERM-v4
185.232.60.0/24,Eurasia Peering IPv4
185.239.155.0/24,SNS-IX-v4
185.54.252.0/24,SR-IX-v4
185.6.36.0/23,INEX LAN1 v4
185.79.175.0/24,ESPANIX VoiP Alta v4
185.79.213.0/24,KazNIX
187.16.192.0/24,IX.br São José dos Campos v4
187.16.193.0/24,IX.br João Pessoa v4
187.16.194.0/24,IX.br Vitória v4
187.16.195.0/24,IX.br Belém v4
187.16.196.0/24,IX.br Natal v4
187.16.197.0/24,PTT Caxias do Sul
187.16.198.0/24,IX.br Manaus v4
187.16.199.0/24,IX.br São José do Rio Preto v4
187.16.201.0/24,IX.br Maringá v4
187.16.202.0/24,IX.br Lajeado v4
187.16.203.0/24,IX.br Cuiabá v4
187.16.204.0/24,PTT Foz do Iguaçu v4
187.16.205.0/24,IX.br Santa Maria v4
187.16.208.0/20,IX.br São Paulo v4
188.93.170.0/23,LU-CIX
190.52.206.0/24,IXP Ecuador - MEC
191.97.88.0/21,NAP del Caribe
192.108.145.0/24,SIX Košice
192.108.148.0/24,SIX v4
192.114.62.0/24,IIX
192.121.80.0/24,STHIX
192.168.173.0/24,NAP Chile
192.168.179.0/24,BINX v4
192.168.51.0/30,A-IX v4
192.203.154.0/24,APE
192.34.27.0/24,UNMETERED IX v4
192.38.7.0/24,DIX
192.65.185.0/24,CIXP
193.105.214.0/24,GraXv4
193.106.112.0/23,W-IX
193.108.98.0/24,NDIX
193.110.13.0/24,SOL-IX v4
193.110.224.0/24,FICIX2
193.110.225.0/24,FICIX3 IPv4v6
193.110.226.0/24,FICIX1 IPv4v6
193.111.172.0/24,GN-IX
193.136.250.0/24,GIGA-PIX LAN1 v4
193.136.251.0/26,GIGA-PIX LAN2 v4
193.136.251.96/27,GIGA-PIX Oporto v4
193.138.31.0/24,S-IX IPv4
193.149.1.0/24,ESPANIX Baja v4
193.156.125.0/24,BIX IPv4
193.156.93.0/24,TRDIX IPv4
193.169.198.0/23,BIX-BG IPv4
193.17.78.0/24,MD-IX-v4
193.178.185.0/24,BCIX-v4
193.188.137.0/24,BIX
193.189.82.0/23,KleyRex
193.192.12.0/26,NSIX-v4
193.201.116.128/26,KM-IX v4
193.201.151.64/26,DD-IX_v4
193.201.28.0/24,NaMeX
193.203.0.0/23,VIX
193.219.13.64/26,TIX
193.227.132.0/24,Terremark-v4
193.232.135.0/24,MSK-IX SMR v4
193.232.136.0/24,MSK-IX VLV v4
193.232.140.0/24,MSK-IX RND v4
193.232.244.0/24,MSK-IX Riga v4
193.232.87.0/24,MSK-IX NSK v4
193.239.116.0/22,NL-ix
193.242.98.0/24,CATNIX v4
193.243.183.64/26,IXOR v4
193.25.180.255/23,DTEL-IX
193.27.37.0/24,PITER-IX Helsinki
193.27.39.0/24,PITER RIX v4
193.28.6.0/24,Pirix v4
193.34.197.128/25,Lillix v4
193.34.200.0/24,Crimea IX
193.34.200.128/25,M-IX
193.34.203.0/24,EUNIC-IX
193.37.144.0/24,AAIX
193.42.155.0/24,ECIX HAM
194.107.117.0/24,OD-IX
194.116.96.0/24,TOP-ix
194.146.118.0/24,BLNX/ECIX
194.165.32.0/24,GIX
194.190.119.0/24,MSK-IX KZN v4
194.226.102.0/23,MSK-IX SPB v4
194.246.39.224/27,NL-ix multicast
194.254.208.158/27,Martinix
194.30.187.0/24,NIX.SK v4
194.42.48.0/24,TIX
194.53.172.0/24,BNIX
194.54.136.0/24,ix.kw IPv4
194.54.92.0/25,OCIX Duesseldorf
194.54.93.0/25,OCIX Frankfort
194.57.235.0/24,Guyanixv4
194.57.253.128/27,Reunix-v4
194.59.190.0/24,INXS/ECIX-MUC v4
194.68.123.0/24,STH-A -- MTU1500
194.68.128.0/24,STH-B -- MTU1500
194.68.129.0/24,SFINX
194.68.130.0/24,Netnod Gothenburg
194.68.133.0/24,Netnod Sundsvall
194.85.107.0/24,MSK-IX EKT v4
194.85.177.0/24,MSK-IX STW v4
194.88.240.0/25,INEX LAN2 v4
194.9.117.0/24,BLNX/ECIX
195.12.116.0/23,KAZ-GOV-IX
195.130.211.0/26,RIX v4
195.137.179.0/24,TLLIX-v4
195.137.180.0/24,BY-IX
