Prefix,Name
2001:43F8:B60:1:0:0:0:0/64,BFIX-Bobo
2001:43F8:BB1:0:0:0:0:0/64,IXPN - Lagos ipv6
2001:43F8:BB1:150:0:0:0:0/64,IXPN - Kano ipv6
2001:43F8:BB1:151:0:0:0:0/64,IXPN - Port Harcourt ipv6
2001:43F8:D11:0:0:0:0:0/64,TGIX v6
2001:43F8:D70:0:0:0:0:0/64,CAMIX-Douala-v6
2001:458:26:2:0:0:0:0/64,NY6IX
2001:478:122::/64,Equinix São Paulo v6
2001:478:124:0:0:0:0:0/48,NOTA
2001:478:132:0:0:0:0:0/48,TelX v6
2001:478:172:0:0:0:0:0/64,PhOpenIX ipv4
2001:478:186:0:0:0:0:0/64,Telx Phoenix
2001:504:0:10:0:0:0:0/64,Equinix Bogota ipv6
2001:504:0:3:0:0:0:0/64,Equinix LA
2001:504:0:4:0:0:0:0/64,Equinix Chicago
2001:504:0:5:0:0:0:0/64,Equinix IBX Dallas v6
2001:504:101:0:0:0:0:0/64,COIX-v6
2001:504:102:0:0:0:0:0/64,DE-CIX Chicago-v6
2001:504:105:0:0:0:0:0/48,SLIX v6
2001:504:109:0:0:0:0:0/48,Denver-IX IPv6
2001:504:10:0:0:0:0:0/64,Equinix-Atlanta
2001:504:110:0:0:0:0:0/64,DesMoinesIX-v6
2001:504:116:0:0:0:0:0/64,DE-CIX-v6
2001:504:118:0:0:0:0:0/64,SBH-IX-v6
2001:504:125:E1:0:0:0:0/64,ONIX-v6
2001:504:128:0:0:0:0:0/64,TUSIX
2001:504:129:0:0:0:0:0/64,IdahoIX
2001:504:12:0:0:0:0:0/64,Equinix-Seattle
2001:504:131:0:0:0:0:0/64,GRR-IX-v6
2001:504:13:0:0:0:0:0/64,Any2 IPv6
2001:504:13:1:0:0:0:0/64,Any2 NorthEast IPv6
2001:504:13:3:0:0:0:0/64,Any2 Norcal IPv6
2001:504:13:4:0:0:0:0/64,Any2 Chicago
2001:504:13:5:0:0:0:0/64,Any2 Miami IPv6
2001:504:13:6:0:0:0:0/64,Any2 NY IPv6
2001:504:13:7:0:0:0:0/64,Any2 Boston IPv6
2001:504:14:0:0:0:0:0/64,48ix-v6
2001:504:16:0:0:0:0:0/64,SEATTLEIX-V6
2001:504:17:114:0:0:0:0/64,TIE Dallas
2001:504:17:115:0:0:0:0/64,DRIX-NYC v6
2001:504:1:0:0:0:0:0/64,NYIIX
2001:504:1A:0:0:0:34:0/111,TORIX ipv6
2001:504:1B:1:0:0:0:0/64,KCIX v6
2001:504:20:81:0:0:0:0/64,BNIIXv6
2001:504:22:30:0:0:0:0/64,GCIIXv6
2001:504:24:1:0:0:0:0/64,Boston IX IPv4
2001:504:26:0:0:0:0:0/64,MBIXv6
2001:504:27:0:0:0:0:0/64,MICE IPv6
2001:504:29:0:0:0:0:0/48,TP-IX v6
2001:504:2C:0:0:0:0:0/116,WPGIXv6
2001:504:2D:0:0:0:18:0/111,QIX IPv6 peering subnet
2001:504:2F:0:0:0:0:0/64,YYCIXv6
2001:504:30:0:0:0:0:0/64,SFMIXv6
2001:504:31:0:0:0:0:0/64,LINX NoVA v6
2001:504:33:0:0:0:0:0/64,OmahaIX IPv6
2001:504:35:0:0:0:0:0/64,GREXv6
2001:504:36:0:0:0:0:0/64,DE-CIX New York
2001:504:37:10:0:0:0:0/64,HFXIXv6
2001:504:37:30:0:0:0:0/64,MonctonIX v6
2001:504:38:1:0:0:0:0/64,AMS-IX Chicago v6
2001:504:39:0:0:0:0:0/64,VANIX-v6
2001:504:3B:0:0:0:0:0/64,Phoenix-IX v6
2001:504:3D:1:0:0:0:0/64,AMS-IX Bay Area v6
2001:504:3E:0:0:0:0:0/64,JAIXP v6
2001:504:3F:0:0:0:0:0/64,TahoeIX v6
2001:504:40:108:0:0:0:0/64,FL-IX v6
2001:504:40:12:0:0:0:0/64,CIX-ATL v6
2001:504:41:110:0:0:0:0/64,ChIX IPv6
2001:504:44:0:0:0:0:0/64,RVA-IX v6
2001:504:45:10:0:0:0:0/64,STL-RIX
2001:504:45:F3E8:0:0:0:0/64,Midwest-IX IPv6
2001:504:46:0:0:0:0:0/48,YEGIX v6
2001:504:47:0:0:0:0:0/64,MASS-IX v6
2001:504:58:0:0:0:0:0/64,IX-Denver v6
2001:504:60:0:0:0:0:0/64,SUPrnet v6
2001:504:61:0:0:0:0:0/48,DE-CIX Dallas v6
2001:504:64:100:0:0:0:0/64,Ohio IX v6
2001:504:65:0:0:0:0:0/64,MTU1500 v6
2001:504:65:1:0:0:0:0/64,MTU9000 v6
2001:504:67:0:0:0:0:0/64,MTU-1500 v6
2001:504:67:1:0:0:0:0/64,MTU-9000
2001:504:68:0:0:0:0:0/64,MTU-1500 v6
2001:504:68:1:0:0:0:0/64,MTU-9000 v6
2001:504:69:0:0:0:0:0/48,YXEIX-v6
2001:504:70:0:0:0:0:0/64,Sacramento-IX v6
2001:504:74:0:0:0:0:0/64,Houston-IX v6
2001:504:75:0:0:0:0:0/64,Dallas-IX v6
2001:504:76:0:0:0:0:0/48,NNENIX-v6
2001:504:77:0:0:0:0:0/64,PIT-IX-v6
2001:504:78:0:0:0:0:0/64,Charlotte-IX v6
2001:504:90:0:0:0:0:0/48,PhillyIX v6
2001:504:91:0:0:0:0:0/64,FCIX v6
2001:504:92:0:0:0:0:0/64,iX-OKC v6
2001:504:93:0:0:0:0:0/64,BVIX-v6
2001:504:95:0:0:0:0:0/64,JXIX v6
2001:504:96:0:0:0:0:0/64,OGIX-v6
2001:504:97:0:0:0:0:0/64,FD-IX-v6
2001:504:98:0:0:0:0:0/64,STLIX v6
2001:504:99:0:0:0:0:0/64,SAT-IX_v6
2001:504:9A:0:0:0:0:0/64,ABQIX-IPv6
2001:504:9B:0:0:0:0:0/64,QCIX v6
2001:504:9C:0:0:0:0:0/64,CSIX
2001:504:A:0:0:0:0:0/64,CIIX v6
2001:504:D:0:0:0:0:0/64,Equinix Palo Alto
2001:504:D:80:0:0:0:0/64,Equinix Toronto v6
2001:505:140:0:0:0:0:0/64,PIE ipv6
2001:505:143:0:0:0:0:0/64,IndyIX ipv6
2001:506:21:100:0:0:0:0/64,NEO-IX-v6
2001:678:3AC:0:0:0:0:0/48,EPIX.Warszawa-KIX v6
2001:67C:29F0:0:0:0:0:0/64,NetIXv6
2001:67C:2B9C:0:0:0:0:0/48,DO-IX v6
2001:778:0:1001:0:0:0:0/64,LIPTAM v6
2001:7F8:0:0:0:0:0:0/64,DE-CIX Frankfurt v6 Unicast
2001:7F8:105:0:0:0:0:0/64,Equinix Muscat ipv6
2001:7F8:106:0:0:0:0:0/64,Ruhr-CIX-v6
2001:7F8:107:0:0:0:0:0/64,kremen-IX-v6
2001:7F8:108:0:0:0:0:0/64,SAIX-Jeddah-public-v6
2001:7F8:109:0:0:0:0:0/64,PITER-IX Kiev v6
2001:7F8:10:0:0:0:0:0/48,NaMeX ipv6
2001:7F8:10A:0:0:0:0:0/64,DE-CIX BCN
2001:7F8:10B:0:0:0:0:0/64,WRIX v6
2001:7F8:10F:0:0:0:0:0/64,FRYS-IX-v6
2001:7F8:112:0:0:0:0:0/64,SIIX ipv6
2001:7F8:115:0:0:0:0:0/64,1-IX-UA-v6
2001:7F8:115:1:0:0:0:0/64,1-IX-EU v6
2001:7F8:116:0:0:0:0:0/64,Free-IX-v6
2001:7F8:11:0:0:0:0:0/64,SAIX v6
2001:7F8:11D:0:0:0:0:0/64,GIBIRIX v6
2001:7F8:11E:0:0:0:0:0/64,IXP.GE
2001:7F8:11F:1:0:0:0:0/64,RUDAKI_v6
2001:7F8:125:777:0:0:0:0/64,IIX-EE IPv6 peering subnet
2001:7F8:129:0:0:0:0:0/64,Equinix-Jeddah-v6
2001:7F8:12:1:0:0:0:0/64,NIX1 ipv6
2001:7F8:12:2:0:0:0:0/64,NIX2 ipv6
2001:7F8:12:3:0:0:0:0/64,TRDIX ipv6
2001:7F8:12:4:0:0:0:0/64,BIX Bergen ipv6
2001:7F8:12:5:0:0:0:0/64,TIX ipv6
2001:7F8:12:6:0:0:0:0/64,SIX ipv6
2001:7F8:12A:0:0:0:0:0/64,ERA-IX-v6
2001:7F8:130:0:0:0:0:0/64,NSIX-v6
2001:7F8:133:0:0:0:0:0/48,DSIX v6
2001:7F8:13:0:0:0:0:0/64,NLIX v6
2001:7F8:142:0:0:0:0:0/64,POMIX v6
2001:7F8:146:0:0:0:0:0/64,TurkIX-v6
2001:7F8:148:0:0:0:0:0/64,NetIX-Greece-v6
2001:7F8:14:0:0:0:0:0/64,NIX.CZ ipv6
2001:7F8:150:0:0:0:0:0/64,RiyadhIX-v6
2001:7F8:162:0:0:0:0:0/64,Doha IX ipv6
2001:7F8:17:0:0:0:0:0/64,LoNAP v6
2001:7F8:18:0:0:0:0:0/64,INEX LAN1 ipv6
2001:7F8:18:12:0:0:0:0/64,INEX LAN2 ipv6
2001:7F8:18:210:0:0:0:0/64,INEX Cork ipv6
2001:7F8:19:1:0:0:0:0/64,BCIX-v6
2001:7F8:1:0:0:0:0:0/64,AMS-IX
2001:7F8:1:1:0:0:0:0/64,XP-London IXP
2001:7F8:1C:24A:0:0:0:0/64,CIXP
2001:7F8:1D:4:0:0:0:0/64,TREX
2001:7F8:1E:0:0:0:0:0/64,SOX
2001:7F8:1F:0:0:0:0:0/48,DIX IPv6
2001:7F8:20:101:0:0:0:0/64,MSK-IX MSK v6
2001:7F8:20:1101:0:0:0:0/64,MSK-IX Riga v6
2001:7F8:20:201:0:0:0:0/64,MSK-IX SPB v6
2001:7F8:20:202:0:0:0:0/64,MSK-IX SPB v6
2001:7F8:20:301:0:0:0:0/64,MSK-IX EKT v6
2001:7F8:20:401:0:0:0:0/64,MSK-IX NSK v6
2001:7F8:20:501:0:0:0:0/64,MSK-IX RND v6
2001:7F8:20:601:0:0:0:0/64,MSK-IX SMR v6
2001:7F8:20:701:0:0:0:0/64,MSK-IX VLV v6
2001:7F8:20:801:0:0:119:0,MSK-IX KZN v6
2001:7F8:20:901:0:0:0:0/64,MSK-IX STW v6
2001:7F8:21:9:0:0:0:0/64,SOL-IX v6
2001:7F8:22:0:0:0:0:0/64,MIXP v6
2001:7F8:23:FFFF:0:0:0:0/64,TOP-IX ipv6
2001:7F8:24:0:0:0:0:0/48,SwissIX
2001:7F8:25:1:0:0:0:0,FNIX6 IPv6
2001:7F8:26:0:0:0:0:0/64,BNIX v6
2001:7F8:27:0:0:0:0:0/48,TPIX v6
2001:7F8:28:0:0:0:0:0/48,CIX ipv6
2001:7F8:29:1:0:0:0:0,N-IX v6
2001:7F8:2:1:0:0:0:0/64,GPC-Missouri-v6
2001:7F8:2A:0:0:0:0:0/64,CATNIX v6
2001:7F8:2C:1000:0:0:0:0/64,INXS/ECIX-MUC v6
2001:7F8:2F:0:0:0:0:0/64,SIX-v6
2001:7F8:30:0:0:0:0:0/64,VIX v6
2001:7F8:31:0:0:0:0:0/48,GN-IX
2001:7F8:32:0:0:0:0:0/64,DE-CIX Palermo ipv6
2001:7F8:33:0:0:0:0:0/48,KleyReX
2001:7F8:34:0:0:0:0:0/64,NCL-IX v6
2001:7F8:35:0:0:0:0:0/64,BIX ipv6
2001:7F8:36:0:0:0:0:0/64,DE-CIX Marseille v6
2001:7F8:39:1:0:0:0:0/64,TLLIX ipv6
2001:7F8:3B:0:0:0:0:0/56,IIX v6
2001:7F8:3C:3E8:0:0:0:0/64,KG-IX v6
2001:7F8:3D:0:0:0:0:0/64,DE-CIX Hamburg v6
2001:7F8:3E:0:0:0:0:0/64,STHIX v6
2001:7F8:3F:0:0:0:0:0/64,DE-CIX Istanbul v6
2001:7F8:41:0:0:0:0:0/48,FIXO
2001:7F8:42:0:0:0:0:0/64,PLIX v6
2001:7F8:43:0:0:0:0:0/64,Equinix Paris
2001:7F8:44:0:0:0:0:0/64,DE-CIX Munich v6
2001:7F8:46:0:0:0:0:0/64,SIX-v6
2001:7F8:47:47:0:0:0:0/64,Lyonixv6
2001:7F8:48:0:0:0:0:0/64,RIX ipv6
2001:7F8:49:0:0:0:0:0/64,RoNIX-v6
2001:7F8:4:0:0:0:0:0/64,LINX LON1 v6
2001:7F8:4:1:0:0:0:0/64,LINX LON2 v6
2001:7F8:4:2:0:0:0:0/64,IXManchester v6
2001:7F8:4:3:0:0:0:0,LINX Scotland v6
2001:7F8:4:4:0:0:0:0/64,LINX Wales v6
2001:7F8:4A:0:0:0:0:0/48,AAIX v6
2001:7F8:4B:0:0:0:0:0/48,POZIX v6
2001:7F8:4C:0:0:0:0:0/48,LU-CIX IPv6
2001:7F8:4D:0:0:0:0:0/48,eXchange West ipv6
2001:7F8:4E:2:0:0:0:0/64,SFINX IPv6 Subnet
2001:7F8:50:1:0:0:0:0/64,RTIX ipv6
2001:7F8:52:0:0:0:0:0/64,BeirutIX IPv6
2001:7F8:53:0:0:0:0:0/48,IXOR v6
2001:7F8:54:0:0:0:0:0/64,France-IX v6
2001:7F8:54:5:0:0:0:0/64,France-IX Marseille v6
2001:7F8:56:0:0:0:0:0/64,S-IX v6
2001:7F8:57:1000:0:0:0:0/64,TIX ipv6
2001:7F8:58:0:0:0:0:0/48,BIX.BG
2001:7F8:59:0:75:0:0:0/96,FR-IX 75v6
2001:7F8:5:0:0:0:0:0/48,TN-IX v6
2001:7F8:5B:0:0:0:0:0/64,EPIX.Katowice v6
2001:7F8:5F:FFFF:0:0:0:0/64,VSIX NAP ipv6
2001:7F8:60:0:0:0:0:0/48,Thinx v6
2001:7F8:61:0:0:0:0:0/64,R_ix v6
2001:7F8:63:0:0:0:0:0/48,DTEL-IX v6
2001:7F8:64:225:0:0:0:0/64,InterLAN-IX v6
2001:7F8:66:0:0:0:0:0/64,Rheintal IX v6
2001:7F8:67:0:0:0:0:0/64,IXLeedsv6-1500
2001:7F8:68:0:0:0:0:0/48,TouIX v6
2001:7F8:6A:0:0:0:0:0/48,MD-IX-v6
2001:7F8:6C:0:0:0:0:0/64,Giganet v6
2001:7F8:6D:0:0:0:0:0/64,Lillix v6
2001:7F8:6F:0:0:0:0:0/64,Sea-IX v6
2001:7F8:71:0:0:0:0:0,GraXv6
2001:7F8:73:0:0:0:0:0/64,UAE-IX v6
2001:7F8:77:0:0:0:0:0/64,YAR-IX v6
2001:7F8:78:0:0:0:0:0/64,KRS-IX v6
2001:7F8:79:0:0:0:0:0/64,DD-IX-v6
2001:7F8:7:A:0:0:0:0/64,FICIX 1 ipv6
2001:7F8:7:B:0:0:0:0/64,FICIX 2 ipv6
2001:7F8:7:C:0:0:0:0/64,FICIX3 ipv6
2001:7F8:7A:0:0:0:0:0/64,SmartHub IX v6
2001:7F8:7D:0:0:0:0:0/64,ULN-IX v6
2001:7F8:7F:0:0:0:0:0/64,Peering.cz ipv6
2001:7F8:80:0:0:0:0:0/64,IX.KS v6
2001:7F8:83:0:0:0:0:0/64,Equinix Amsterdam v6
2001:7F8:87:0:0:0:0:0/64,Brno IX v6
2001:7F8:8:0:0:0:0:0/64,ECIX-DUS
2001:7F8:8:10:0:0:0:0/64,ECIX-HAM
2001:7F8:8:20:0:0:0:0/64,ECIX-FRA
2001:7F8:8:5:0:0:0:0/64,ECIX-BER
2001:7F8:8A:0:0:0:0:0/64,THESS-IX-v6
2001:7F8:8B:0:0:0:0:0/64,BY-IX v6
2001:7F8:8D:0:0:0:0:0/64,Tirol IX v6
2001:7F8:8E:0:0:0:0:11/118,B-IX Regional Peering IPv6 subnet
2001:7F8:8F:0:0:0:0:0/48,LSIX v6
2001:7F8:91:0:0:0:0:0/64,NIX.SK v6
2001:7F8:94:0:0:0:0:0/64,ARMIX v6
2001:7F8:95:0:0:0:0:0/48,UP-IXP IPv6
2001:7F8:98:0:0:0:0:0/64,T-CIX v6
2001:7F8:9D:0:0:0:0:0/64,BW-IX Karlsruhe
2001:7F8:9F:0:0:0:0:0/64,Megaport Sofia v6
2001:7F8:A0:0:0:0:0:0/64,DE-CIX Madrid v6
2001:7F8:A2:0:0:0:0:0/50,Titanic v6
2001:7F8:A2:4000:0:0:0:0/50,Mersey v6
2001:7F8:A2:8000:0:0:0:0/50,Internet of Things LAN
2001:7F8:A5:0:0:0:0:0/64,Community-IX v6
2001:7F8:A7:0:0:0:0:0/48,BAIKAL-IX v6
2001:7F8:A:11:0:0:0:0/64,GIGA-PIX Oporto v6
2001:7F8:A:1:0:0:0:0/64,GIGA-PIX LAN1 v6
2001:7F8:A:2:0:0:0:0/64,GIGA-PIX LAN2 v6
2001:7F8:AA:0:0:0:0:0/116,Gavlix v6
2001:7F8:AC:142:0:0:0:0/64,Sibir-IX v6
2001:7F8:AD:0:0:0:0:0/64,STHIX - Gothenburg
2001:7F8:AF:0:0:0:0:0/64,Equinix Helsinki v6
2001:7F8:B0:0:0:0:0:0/64,STHIX CPH ipv6
2001:7F8:B1:0:0:0:0:0/64,BreizhIX v6
2001:7F8:B4:0:0:0:0:0/48,LIXP
2001:7F8:B5:0:0:0:0:0/48,RomandIX v6
2001:7F8:B6:0:0:0:0:0/64,Asteroid Amsterdam v6
2001:7F8:B6:2:0:0:0:0/64,Asteroid MBA v6
2001:7F8:B6:5:0:0:0:0/64,accra-ix-v6
2001:7F8:B7:0:0:0:0:0/64,Speed-IX v6
2001:7F8:B9:0:0:0:0:0/48,PCIX ipv6
2001:7F8:B:100:0:0:0:0/64,MIX ipv6
2001:7F8:BA:0:0:0:0:0/48,MESH-IX v6
2001:7F8:BB:0:0:0:0:0/48,ANIX v6
2001:7F8:BC:0:0:0:0:0/64,Equinix Manchester v6
2001:7F8:BE:0:0:0:0:0/64,Equinix London v6
2001:7F8:BF:1:0:0:0:0/64,Community-IX.ch
2001:7F8:C0:0:0:0:0:0/64,Equinix Milan v6
2001:7F8:C1:0:0:0:0:0/64,Equinix Stockholm v6
2001:7F8:C3:0:0:0:0:0/64,Equinix Dublin ipv6
2001:7F8:C4:0:0:0:0:0/64,LITIX v6
2001:7F8:C5:0:0:0:0:0/64,MiNAP ipv6
2001:7F8:C6:0:0:0:0:0/64,Equinix v6
2001:7F8:C7:0:0:0:0:0/64,Equinix Lisbon v6
2001:7F8:C:8235:194:42:48:0/112,TIX
2001:7F8:CA:0:0:0:0:0/64,Community-IX Vienna v6
2001:7F8:CA:1:0:0:0:0/64,FogIXP-v6
2001:7F8:CB:DCBB:0:0:0:0/64,IXP.mk ipv6
2001:7F8:CC:333:0:0:0:0/64,CHIX-v6
2001:7F8:CD:0:0:0:0:0/64,NL-ix 2 v6
2001:7F8:CE:0:0:0:0:0/48,GR-IX Thessaloniki v6
2001:7F8:CE:0:0:0:0:0/64,GR-IX v6
2001:7F8:CF:0:0:0:0:0/64,STIX ipv6
2001:7F8:D1:0:0:0:0:0/64,JEDIX-v6
2001:7F8:D2:0:0:0:0:0/64,Belgium IX v6
2001:7F8:D5:0:0:0:0:0/64,DE-CIX Lisbon v6
2001:7F8:D7:0:0:0:0:0/64,BHNIX-v6
2001:7F8:D8:0:0:0:0:0/48,LVIV-IX v6
2001:7F8:D9:5A:0:0:0:0/64,SBIX-Dusseldorf-v6
2001:7F8:D9:5B:0:0:0:0/64,SBIX-Zurich-v6
2001:7F8:D9:5C:0:0:0:0/64,SBIX-London v6
2001:7F8:D9:FF:0:0:0:0/64,VIXP-v6
2001:7F8:D:200:0:0:0:0/48,Netnod Copenhagen v6
2001:7F8:D:201:0:0:0:0/64,Netnod Copenhagen MTU4470 v6
2001:7F8:D:300:0:0:0:0/64,Netnod Sundsvall
2001:7F8:D:FB:0:0:0:0/64,STH-B -- MTU4470 v6
2001:7F8:D:FC:0:0:0:0/64,STH-A -- MTU4470 v6
2001:7F8:D:FE:0:0:0:0/64,STH-B -- MTU1500 v6
2001:7F8:D:FF:0:0:0:0/64,STH-A -- MTU1500 v6
2001:7F8:DA:0:0:0:0:0/64,BFD-IX v6
2001:7F8:DB:0:0:0:0:0/64,Varna IX v6
2001:7F8:DD:0:0:0:0:0/64,STHIX - Sundsvall
2001:7F8:DF:0:0:0:0:0/64,MS-IX v6
2001:7F8:E4:0:0:0:0:0/64,RO-IX v6
2001:7F8:E6:0:0:0:0:0/64,PITER-IX SPB v6
2001:7F8:E9:0:0:0:0:0/64,STHIX - Umea v6
2001:7F8:EA:0:0:0:0:0/64,TR-IX Denizli v6
2001:7F8:EB:0:0:0:0:0/64,PITER-IX Moscow v6
2001:7F8:ED:0:0:0:0:0/64,QIX ipv6
2001:7F8:F2:E1:0:0:0:0/64,LocIX Frankfurt v6
2001:7F8:F4:0:0:0:0:0/48,BéarnIX-v6
2001:7F8:F5:0:0:0:0:0/64,SEECIX-v6
2001:7F8:F:0:0:0:0:0/64,ESPANIX v6 Baja
2001:7F8:F:1:0:0:0:0/64,ESPANIX v6 Alta
2001:7F8:FB:0:0:0:0:0/64,ManxIX v6
2001:7F8:FC:3F:0:0:0:0/64,ROPN-IX v6
2001:7F8:FD:0:0:0:0:0/64,STACIX-ipv6
2001:7FA:0:1:0:0:0:0/64,HK6IX
2001:7FA:11:0:0:0:0:0/64,WA-IX v6
2001:7FA:11:1:0:0:0:0/64,VIC-IX v6
2001:7FA:11:2:0:0:0:0/64,QLD-IX ipv6
2001:7FA:11:3:0:0:0:0/64,SA-IX v6
2001:7FA:11:4:0:0:0:0/64,NSW-IX ipv6
2001:7FA:11:5:0:0:0:0/64,ACT-IX v6
2001:7FA:11:6:0:0:0:0/64,AKL-IX ipv6
2001:7FA:11:7:0:0:0:0/64,IX Australia (Hobart TAS)
2001:7FA:1:7481:0:0:0:0/112,TWIX v6
