Prefix,Name
2001:12F8:0:0:0:0:0:0/64,IX.br São Paulo v6
2001:12F8:0:10:0:0:0:0/64,IX.br Recife v6
2001:12F8:0:11:0:0:0:0/64,IX.br Campinas IPv6
2001:12F8:0:12:0:0:0:0/64,IX.br Campina Grande v6
2001:12F8:0:13:0:0:0:0/64,IX.br Brasília v6
2001:12F8:0:14:0:0:0:0/64,IX.br Goiânia v6
2001:12F8:0:15:0:0:0:0/64,IX.br São José dos Campos v6
2001:12F8:0:16:0:0:0:0/64,IX.br João Pessoa v6
2001:12F8:0:17:0:0:0:0/64,IX.br Vitória v6
2001:12F8:0:18:0:0:0:0/64,IX.br Belém v6
2001:12F8:0:19:0:0:0:0/64,IX.br Natal v6
2001:12F8:0:1:0:0:0:0/64,IX.br Aracaju v6
2001:12F8:0:20:0:0:0:0/64,PTT-CXJ
2001:12F8:0:21:0:0:0:0/64,IX.br Manaus v6
2001:12F8:0:22:0:0:0:0/64,IX.br São José do Rio Preto v6
2001:12F8:0:25:0:0:0:0/64,IX.br Lajeado v6
2001:12F8:0:26:0:0:0:0/64,IX.br Cuiabá v6
2001:12F8:0:27:0:0:0:0/64,PTT Foz do Iguaçu v6
2001:12F8:0:28:0:0:0:0/64,IX.br Santa Maria v6
2001:12F8:0:29:0:0:0:0/64,IX.br Teresina v6
2001:12F8:0:2:0:0:0:0/64,IX.br Rio de Janeiro v6
2001:12F8:0:30:0:0:0:0/64,IX.br São Luís v6
2001:12F8:0:31:0:0:0:0/64,IX.br Maceió v6
2001:12F8:0:3:0:0:0:0/64,IX.br Belo Horizonte v6
2001:12F8:0:4:0:0:0:0/64,IX.br Curitiba v6
2001:12F8:0:6:0:0:0:0/64,Ix.br Porto Alegre v6
2001:12F8:0:7:0:0:0:0/64,IX.br Londrina v6
2001:12F8:0:8:0:0:0:0/64,IX.br Salvador v6
2001:12F8:0:9:0:0:0:0/64,IX.br Fortaleza v6
2001:12f8:0:24::/64,IX.br Maringá v6
2001:12f8:0:5::/64,IX.br Florianópolis v6
2001:1320:CAFE:0:0:0:0:0/48,IXpy ipv6
2001:13C7:6000:0:0:0:0:0/64,NAP Colombia ipv6
2001:13C7:6001:0:0:0:0:0/64,CABASE-BUE v6
2001:13C7:6002:0:0:0:0:0/48,OCIX IPv6 Unicast
2001:13C7:6003:0:0:0:0:0/48,AIX-IPv6
2001:13C7:6004:0:0:0:0:0/64,AMS-IX Carib ipv6
2001:13C7:6006:0:0:0:0:0/64,NAP AEPROVI Quito ipv6
2001:13C7:6007:0:0:0:0:0/48,CABASE-NQN v6
2001:13C7:6008:0:0:0:0:0/48,CABASE-ROS v6
2001:13C7:6009:0:0:0:0:0/48,CABASE-BHB v6
2001:13C7:600B:0:0:0:0:0/48,CABASE-MZA v6
2001:13C7:600C:0:0:0:0:0/48,CABASE-DLC v6
2001:13C7:600D:0:0:0:0:0/48,CABASE-SFE v6
2001:13C7:600E:0:0:0:0:0/48,CABASE-COR v6
2001:13C7:6010:0:0:0:0:0/64,CABASE-JUN v6
2001:13C7:6011:0:0:0:0:0/48,CABASE-LPL v6
2001:13C7:6012:0:0:0:0:0/48,CABASE-MDQ v6
2001:13C7:6013:0:0:0:0:0/48,CABASE-POS v6
2001:13C7:6014:0:0:0:0:0/64,CABASE-PMY v6
2001:13C7:6015:0:0:0:0:0/48,CABASE-BRC v6
2001:13C7:6016:0:0:0:0:0/64,CABASE-SLU v6
2001:13C7:601A:0:0:0:0:0/48,CABASE-SZP v6
2001:13C7:601B:0:0:0:0:0/48,IXP SALTA  v6
2001:13C7:6F80:0:0:0:0:0/64,NAP.EC - GYE ipv6
2001:1490:104:0:0:0:0:0/64,SAIX v6
2001:1490:108:0:0:0:0:0/64,SAIX-Jeddah-v6
2001:1497:0:0:0:0:0:0/64,SAIX public v6
2001:19E0:FFFF:0:0:0:0:0/64,MKEIX-v6
2001:1A40:10:0:0:0:0:0/64,MN-IX v6
2001:1AB8:8486:0:0:0:0:0/64,Balt-IX v6
2001:200:0:FE00:0:0:0:0/64,DIX-IE v6
2001:3A8:7000:0:0:0:0:0/64,KRIX-IPv6
2001:4300:96:0:0:0:0:0/64,CAIX ipv6
2001:4350:3000:0:0:0:0:0/64,TuniXP v6
2001:43F8:0:0:0:0:0:0/64,TIX v6
2001:43F8:0:100:0:0:0:0/64,AIXP v6
2001:43F8:0:200:0:0:0:0/64,MIXP v6
2001:43F8:0:300:0:0:0:0/64,ZIXP v6
2001:43F8:0:400:0:0:0:0/64,DIXP v6
2001:43F8:11F0:0:0:0:0:0/64,amsix-lagos ipv6
2001:43F8:130:0:0:0:0:0/64,UIXP v6
2001:43F8:140:0:0:0:0:0/64,LSKIX v6
2001:43F8:150:0:0:0:0:0/48,RINEX v6
2001:43F8:16A0:0:0:0:0:0/48,DJAMIX-v6
2001:43F8:16C0:0:0:0:0:0/64,CVIXP-v6
2001:43F8:16D0:0:0:0:0:0/64,LINX Nairobi v6
2001:43F8:1720:0:0:0:0:0/48,Lionex-v6
2001:43F8:1F0:0:0:0:0:0/64,JINX
2001:43F8:1F1:0:0:0:0:0/64,CINX
2001:43F8:1F2:0:0:0:0:0/64,DINX-v6
2001:43F8:270:D0D0:0:0:0:0/64,MIXP-v6
2001:43F8:310:0:0:0:0:0/64,Harare IX v6
2001:43F8:380:0:0:0:0:0/64,Malawi IXP-v6
2001:43F8:390:0:0:0:0:0/64,AO-IXP ipv6
2001:43F8:391:0:0:0:0:0/64,AO-IXP ipv6
2001:43F8:3C0:0:0:0:0:0/48,KINIX ipv6
2001:43F8:41:0:0:0:0:0/64,EG-IX ipv6
2001:43F8:60:0:0:0:0:0/48,KIXP IP ipv6
2001:43F8:690:0:0:0:0:0/64,NMBINX-v6
2001:43F8:6A2:0:0:0:0:0/64,CG-IX PNR ipv6
2001:43F8:6D0:0:0:0:0:0/64,NAP Africa Johannesburg v6
2001:43F8:6D1:0:0:0:0:0/64,NAP Africa Cape Town
2001:43F8:6D2:0:0:0:0:0/64,NAPAfrica IX Durban v6
2001:43F8:9C1:1:0:0:0:0/64,DjIX-v6
2001:43F8:9D0:0:0:0:0:0/48,ANGONIX ipv6
2001:43F8:B60:0:0:0:0:0/64,BFIX-OUAGA-IPv6
